Lambda,M_4SRA,M_2SRA,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo
0.05,90,180,1,111.714441,72535.13168,72265.1317,"[5, 6, 3, 20, 30, 5]"
0.06,108,216,0.996914,119.32682,72555.87808,72232.8781,"[6, 6, 3, 30, 30, 5]"
0.07,126.3333333,252.6666667,0.997361,126.817526,72599.63456,72221.6348,"[6, 5, 3, 30, 40, 5]"
0.08,144,288,0.997685,134.380867,72646.40409,72215.40413,"[6, 6, 3, 30, 40, 5]"
0.09,162,324,0.997942,142.085062,72695.32628,72210.32647,"[6, 5, 3, 30, 60, 5]"
0.1,180,360,0.998148,149.449745,72733.6349,72194.63506,"[7, 5, 3, 30, 60, 5]"
0.2,360,720,0.997222,222.891283,73217.54527,72140.54586,"[10, 4, 6, 60, 120, 5]"
0.3,540,1080,0.997531,338.714524,74517.90142,72901.90196,"[20, 5, 10, 20, 160, 10]"
0.4,720,1440,0.989401,398.114776,74732.85902,72595.75349,"[6, 5, 3, 120, 160, 240]"
0.5,900,1800,0.933641,497.731854,76453.71223,73932.88186,"[5, 5, 3, 160, 160, 240]"
0.6,1080,2160,0.805086,484.428219,76630.83331,74022.35347,"[3, 3, 3, 240, 240, 240]"
0.7,1260,2520,0.661887,535.020441,77319.92769,74817.99581,"[3, 3, 3, 240, 240, 240]"
0.8,1440,2880,0.536575,597.358352,77180.64419,74862.64119,"[3, 3, 3, 40, 240, 240]"
0.9,1620,3240,0.441134,628.651273,77268.84917,75124.93934,"[3, 3, 3, 20, 240, 240]"
1,1800,3600,0.360354,652.826039,77083.71901,75137.8065,"[3, 3, 3, 5, 240, 240]"
