Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.914387,131.675342,719.8057513648478,472.9212365575728,0.342988,0.9,27,27
0.06,20,20,5,5,5,20,20,20,0.91036,135.944775,866.204291714344,571.2477587645944,0.340516,1.0,27,27
0.07,20,20,5,5,5,20,20,20,0.914509,140.082373,994.2412000511504,647.642262849527,0.348606,1.1,27,27
0.08,20,20,5,5,5,20,20,20,0.901266,144.994174,1137.055254323628,747.7081776836958,0.342417,1.1,27,27
0.09,20,20,5,5,5,20,20,20,0.902613,149.818588,1264.3462963779466,825.6763227187914,0.346954,1.3,27,27
0.1,20,20,5,5,5,20,20,20,0.888926,155.0824,1407.4181951303008,927.3982244917304,0.341064,1.6,27,27
0.2,20,20,5,5,5,20,20,20,0.414099,188.15637,1947.889468773147,1500.662745490195,0.229596,2.3,27,27
0.3,20,20,5,5,5,20,20,20,0.344331,255.372792,2586.1144635311894,2028.298330848257,0.215697,3.1,27,27
0.4,20,20,5,5,5,20,20,20,0.302242,303.959754,3265.8930110725037,2613.050268287181,0.199897,3.2,27,27
0.5,20,20,5,5,5,20,20,20,0.212984,324.889029,3545.7645250496457,2970.706981450001,0.162182,3.1,27,27
0.6,20,20,5,5,5,20,20,20,0.137898,335.134732,3620.3843493214877,3173.595084946722,0.123409,2.9,27,27
0.7,20,20,5,5,5,20,20,20,0.090992,343.415151,3657.0608009095727,3313.112447169174,0.09405,4.1,27,27
0.8,20,20,5,5,5,20,20,20,0.063139,350.559726,3681.715329453587,3408.953885285217,0.074085,5.0,27,27
0.9,20,20,5,5,5,20,20,20,0.046023,357.179271,3696.5959688941707,3472.9257204376154,0.060507,5.0,27,27
1.0,20,20,5,5,5,20,20,20,0.03515,363.136068,3709.0586311205993,3519.246148676898,0.051175,5.0,27,27
