Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.872135,160.685795,760.8740869176678,525.3976191508254,0.309482,0.6,27,27
0.06,20,20,5,5,5,20,20,20,0.849976,166.651003,909.9560142182298,634.5637770259914,0.302643,0.6,27,27
0.07,20,20,5,5,5,20,20,20,0.843948,171.587157,1069.0200738714163,749.1638993790541,0.299205,0.6,27,27
0.08,20,20,5,5,5,20,20,20,0.830531,176.093888,1219.8335929679442,861.0442987418912,0.29413,0.6,27,27
0.09,20,20,5,5,5,20,20,20,0.823401,181.365092,1378.9391840031324,978.7664943944831,0.290203,0.6,27,27
0.1,20,20,5,5,5,20,20,20,0.812017,187.193624,1539.4629342832272,1100.9737152355524,0.284833,0.6,27,27
0.2,20,20,5,5,5,20,20,20,0.774278,270.525152,3206.5264707952056,2370.306365541098,0.260787,3.2,27,27
0.3,20,20,5,5,5,20,20,20,0.337042,303.243704,3619.7024900551714,3073.6943706778384,0.150843,2.9,27,27
0.4,20,20,5,5,5,20,20,20,0.149485,319.42414,3681.671161157032,3358.784601820861,0.087701,5.0,27,27
0.5,20,20,5,5,5,20,20,20,0.080329,335.713817,3709.055192851803,3492.1679158308516,0.058475,5.0,27,27
0.6,20,20,5,5,5,20,20,20,0.05104,350.526882,3731.017863876927,3565.6471928141523,0.044323,5.0,27,27
0.7,20,20,5,5,5,20,20,20,0.036732,362.224669,3743.0614909908877,3604.2139574997373,0.037095,5.0,27,27
0.8,20,20,5,5,5,20,20,20,0.028742,370.517446,3754.8719014811722,3630.708016266073,0.033067,5.0,27,27
0.9,20,20,5,5,5,20,20,20,0.023696,376.24702,3766.5903484248756,3651.4295531817525,0.030574,5.0,27,27
1.0,20,20,5,5,5,20,20,20,0.020208,380.147304,3776.276485451273,3667.151776148533,0.028897,5.0,27,27
